,target,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surfae_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_pring_color,population,habitat
116,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
117,0,5,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
118,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
119,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
120,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
121,1,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
122,0,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
123,0,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
124,0,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1
125,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
126,0,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
127,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
128,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
129,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
130,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
131,0,2,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
132,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
133,0,2,2,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
134,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
135,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
136,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
137,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
138,0,0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
139,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
140,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
141,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
142,0,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
143,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
144,0,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1
145,0,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1
146,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
147,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
148,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
149,0,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
150,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
151,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
152,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
153,0,5,2,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
154,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
155,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
156,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
157,0,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
158,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
159,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
160,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
161,0,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
162,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
163,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
164,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
165,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
166,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
167,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
168,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
169,0,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
170,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
171,0,5,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
172,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
173,0,2,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
174,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
175,0,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
176,0,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
177,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
178,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
179,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
180,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
181,0,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
182,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
183,0,2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
184,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
185,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
186,0,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
187,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
188,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
189,0,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1
190,0,5,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
191,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
192,0,2,2,9,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
193,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
194,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
195,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
196,0,5,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
197,0,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
198,0,2,2,8,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
199,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
200,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
201,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
202,0,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
203,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
204,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
205,0,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
206,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
207,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
208,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
209,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
210,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
211,0,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
212,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
213,0,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
214,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
215,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
216,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
217,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
218,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
219,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
220,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
221,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
222,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
223,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
224,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
225,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
226,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
227,1,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
228,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
229,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5
230,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
231,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
232,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
233,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
234,0,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
235,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
236,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
237,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
238,0,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
239,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
240,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
241,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
242,1,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5
243,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
244,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
245,0,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
246,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
247,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
248,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
249,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
250,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1
251,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5
252,0,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
253,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
254,0,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
255,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
256,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
257,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
258,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
259,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
260,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
261,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
262,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
263,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
264,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
265,0,2,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
266,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
267,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
268,1,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5
269,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
270,1,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,5
271,0,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
272,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
273,0,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
274,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,4
275,0,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
276,0,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
277,0,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
278,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
279,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1
280,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
281,0,4,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
282,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
283,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
284,0,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
